LGA,Climate,Crop,pH,N,P,K,Temp,Rainfall,Salinity
Qua'an-Pan,Lowland,Irish-potato,5.43,118.88,59.49,142.53,22.24,300.0,1.37
Qua'an-Pan,Lowland,Irish-potato,5.63,146.35,75.0,124.48,21.35,381.43,1.7
Qua'an-Pan,Lowland,Irish-potato,4.73,107.7,75.0,126.44,13.06,309.55,1.38
Qua'an-Pan,Lowland,Irish-potato,5.86,125.17,75.0,90.0,16.45,349.5,0.99
Qua'an-Pan,Lowland,Irish-potato,4.81,145.46,51.21,159.55,17.84,300.0,0.99
Qua'an-Pan,Lowland,Irish-potato,4.62,115.5,59.55,156.22,16.49,622.73,0.44
Qua'an-Pan,Lowland,Irish-potato,4.16,150.0,40.82,90.0,20.57,300.0,0.93
Qua'an-Pan,Lowland,Irish-potato,6.47,67.21,30.0,90.0,21.14,596.84,0.79
Qua'an-Pan,Lowland,Irish-potato,5.29,150.0,75.0,139.31,9.94,300.0,0.83
Qua'an-Pan,Lowland,Irish-potato,4.53,114.7,75.0,219.15,17.4,592.23,1.24
Qua'an-Pan,Lowland,Irish-potato,4.79,150.0,60.25,225.0,12.97,309.85,0.99
Qua'an-Pan,Lowland,Irish-potato,5.09,150.0,58.56,90.0,20.95,532.12,0.22
Qua'an-Pan,Lowland,Irish-potato,4.74,65.62,47.36,104.85,20.83,420.45,0.38
Qua'an-Pan,Lowland,Irish-potato,5.45,71.09,64.77,109.51,16.72,488.25,1.33
Qua'an-Pan,Lowland,Irish-potato,5.82,118.4,64.35,129.27,18.64,476.91,1.0
Qua'an-Pan,Lowland,Irish-potato,3.29,132.88,65.37,116.54,13.5,658.28,1.31
Qua'an-Pan,Lowland,Irish-potato,4.56,81.48,44.61,220.63,18.48,303.65,1.32
Qua'an-Pan,Lowland,Irish-potato,4.08,150.0,75.0,127.75,15.8,300.0,0.28
Qua'an-Pan,Lowland,Irish-potato,3.66,126.01,53.28,90.0,17.02,488.43,1.33
Qua'an-Pan,Lowland,Irish-potato,3.21,116.79,34.78,199.59,20.74,300.0,0.65
Qua'an-Pan,Lowland,Irish-potato,4.37,60.0,64.87,137.92,21.4,300.0,0.73
Qua'an-Pan,Lowland,Irish-potato,3.53,86.13,38.3,204.54,15.56,421.73,0.85
Qua'an-Pan,Lowland,Irish-potato,3.72,115.39,69.47,90.0,20.83,300.0,0.8
Qua'an-Pan,Lowland,Irish-potato,5.17,98.06,59.65,135.73,18.45,300.0,0.22
Qua'an-Pan,Lowland,Irish-potato,5.24,150.0,43.06,139.44,19.03,521.31,0.22
Qua'an-Pan,Lowland,Irish-potato,4.03,109.64,71.29,225.0,17.2,300.0,1.27
Qua'an-Pan,Lowland,Irish-potato,5.8,125.06,43.12,202.54,20.32,300.0,1.25
Qua'an-Pan,Lowland,Irish-potato,5.54,150.0,57.83,133.45,22.3,300.0,1.28
Qua'an-Pan,Lowland,Irish-potato,3.64,150.0,54.47,218.85,19.72,300.0,1.8
Qua'an-Pan,Lowland,Irish-potato,5.99,150.0,45.66,136.18,18.51,300.0,1.88
Qua'an-Pan,Lowland,Irish-potato,4.86,60.0,64.93,133.97,17.74,335.49,1.48
Qua'an-Pan,Lowland,Irish-potato,5.64,131.18,53.05,150.08,18.07,300.0,1.36
Qua'an-Pan,Lowland,Irish-potato,5.11,150.0,75.0,116.25,20.87,300.0,1.42
Qua'an-Pan,Lowland,Irish-potato,4.32,85.46,63.89,90.0,11.87,368.94,1.1
Qua'an-Pan,Lowland,Irish-potato,4.44,66.0,44.68,172.79,20.04,397.16,1.66
Qua'an-Pan,Lowland,Irish-potato,5.06,95.12,54.08,90.0,17.62,594.62,1.41
Qua'an-Pan,Lowland,Irish-potato,5.87,110.68,75.0,142.1,23.15,396.18,1.43
Qua'an-Pan,Lowland,Irish-potato,5.93,114.51,62.81,219.91,17.53,300.0,1.88
Qua'an-Pan,Lowland,Irish-potato,4.36,126.83,75.0,120.3,14.47,444.4,0.22
Qua'an-Pan,Lowland,Irish-potato,4.51,129.85,54.27,90.0,23.58,418.12,1.81
Qua'an-Pan,Lowland,Irish-potato,4.53,90.48,63.7,140.92,13.88,657.21,0.73
Qua'an-Pan,Lowland,Irish-potato,3.26,150.0,50.16,120.34,11.82,704.66,0.38
Qua'an-Pan,Lowland,Irish-potato,4.79,150.0,66.37,149.11,12.04,300.0,1.15
Qua'an-Pan,Lowland,Irish-potato,4.11,128.4,70.92,202.78,13.71,750.0,1.46
Qua'an-Pan,Lowland,Irish-potato,4.74,150.0,75.0,90.0,17.21,300.0,1.16
Qua'an-Pan,Lowland,Irish-potato,5.03,119.91,47.53,90.0,19.31,654.7,0.74
Qua'an-Pan,Lowland,Irish-potato,5.09,66.39,66.99,131.59,15.33,300.0,0.85
Qua'an-Pan,Lowland,Irish-potato,5.05,75.35,52.04,150.07,14.15,714.42,0.61
Qua'an-Pan,Lowland,Irish-potato,4.2,87.04,75.0,181.27,14.72,593.59,1.16
Qua'an-Pan,Lowland,Tomato,6.36,136.23,76.82,217.97,22.27,611.74,0.38
Qua'an-Pan,Lowland,Tomato,7.83,143.03,104.34,241.03,21.92,500.73,0.38
Qua'an-Pan,Lowland,Tomato,5.23,119.34,63.58,192.24,26.08,481.9,1.42
Qua'an-Pan,Lowland,Tomato,5.29,157.04,99.75,245.82,27.68,403.55,0.63
Qua'an-Pan,Lowland,Tomato,5.31,130.25,88.21,214.72,27.43,394.04,1.27
Qua'an-Pan,Lowland,Tomato,6.23,131.24,72.2,120.53,21.65,455.15,0.76
Qua'an-Pan,Lowland,Tomato,5.79,159.88,110.16,151.99,28.58,531.39,0.46
Qua'an-Pan,Lowland,Tomato,5.11,181.0,92.63,120.0,18.77,370.94,0.44
Qua'an-Pan,Lowland,Tomato,5.58,147.22,134.87,188.73,28.89,566.52,2.26
Qua'an-Pan,Lowland,Tomato,6.39,89.04,108.59,251.05,24.17,603.33,1.86
Qua'an-Pan,Lowland,Tomato,6.72,177.95,105.24,120.0,22.46,539.53,0.69
Qua'an-Pan,Lowland,Tomato,5.8,115.82,137.5,280.52,20.88,417.17,0.78
Qua'an-Pan,Lowland,Tomato,6.77,161.14,117.8,217.7,31.25,300.0,0.38
Qua'an-Pan,Lowland,Tomato,5.61,100.56,57.31,155.64,20.72,300.0,1.62
Qua'an-Pan,Lowland,Tomato,5.48,141.04,119.96,166.57,23.42,442.63,0.38
Qua'an-Pan,Lowland,Tomato,3.75,156.37,109.4,298.34,25.15,495.54,1.12
Qua'an-Pan,Lowland,Tomato,6.4,187.5,48.75,221.5,31.25,432.87,2.41
Qua'an-Pan,Lowland,Tomato,5.33,145.34,97.37,120.0,19.72,300.0,1.83
Qua'an-Pan,Lowland,Tomato,7.07,155.73,118.12,194.61,29.42,401.02,1.3
Qua'an-Pan,Lowland,Tomato,5.75,166.23,85.43,247.7,19.86,300.0,1.74
Qua'an-Pan,Lowland,Tomato,5.96,133.04,119.85,173.98,23.68,563.08,2.33
Qua'an-Pan,Lowland,Tomato,7.88,138.05,128.8,158.07,20.79,300.0,2.43
Qua'an-Pan,Lowland,Tomato,5.06,142.59,72.59,234.61,22.96,300.0,1.56
Qua'an-Pan,Lowland,Tomato,4.4,121.86,48.75,135.96,25.23,300.0,0.38
Qua'an-Pan,Lowland,Tomato,6.06,130.43,137.5,287.61,20.95,464.93,1.78
Qua'an-Pan,Lowland,Tomato,5.37,102.68,96.17,194.2,22.72,451.55,0.73
Qua'an-Pan,Lowland,Tomato,4.73,149.46,106.62,147.47,28.3,300.0,0.85
Qua'an-Pan,Lowland,Tomato,5.76,127.73,81.66,289.35,21.02,684.52,1.56
Qua'an-Pan,Lowland,Tomato,6.17,160.16,137.5,156.0,19.91,312.02,1.28
Qua'an-Pan,Lowland,Tomato,4.07,146.93,137.5,209.29,23.3,327.95,1.88
Qua'an-Pan,Lowland,Tomato,5.11,187.5,137.5,214.2,24.45,520.12,2.02
Qua'an-Pan,Lowland,Tomato,5.13,130.93,61.78,221.29,27.23,300.0,0.94
Qua'an-Pan,Lowland,Tomato,4.5,120.07,110.95,168.1,23.27,300.0,1.39
Qua'an-Pan,Lowland,Tomato,6.01,125.03,91.53,210.64,21.16,300.0,2.5
Qua'an-Pan,Lowland,Tomato,5.33,143.46,123.02,300.0,19.4,452.43,0.76
Qua'an-Pan,Lowland,Tomato,5.44,125.28,66.94,200.32,18.46,510.35,1.29
Qua'an-Pan,Lowland,Tomato,6.55,132.69,86.85,215.63,19.73,358.28,0.65
Qua'an-Pan,Lowland,Tomato,5.03,84.77,131.65,170.29,29.26,524.57,0.38
Qua'an-Pan,Lowland,Tomato,4.8,187.5,137.5,200.78,25.55,326.47,1.56
Qua'an-Pan,Lowland,Tomato,5.23,87.02,61.8,203.23,19.87,392.16,0.5
Qua'an-Pan,Lowland,Tomato,5.16,171.15,102.99,201.8,28.1,456.01,2.27
Qua'an-Pan,Lowland,Tomato,5.53,133.75,62.34,182.28,28.45,551.51,1.93
Qua'an-Pan,Lowland,Tomato,3.99,177.86,48.75,244.05,22.99,481.88,0.38
Qua'an-Pan,Lowland,Tomato,7.41,103.57,78.94,155.79,17.32,411.02,2.5
Qua'an-Pan,Lowland,Tomato,8.75,149.11,125.8,213.05,26.54,360.12,1.39
Qua'an-Pan,Lowland,Tomato,6.68,129.41,94.46,199.53,27.88,300.0,1.22
Qua'an-Pan,Lowland,Tomato,8.27,180.22,131.91,203.38,25.81,516.81,2.35
Qua'an-Pan,Lowland,Tomato,3.81,107.93,130.86,189.36,21.75,300.0,0.87
Qua'an-Pan,Lowland,Tomato,4.44,187.5,95.9,199.55,26.91,512.16,1.92
Qua'an-Pan,Lowland,Tomato,7.3,127.89,88.67,238.05,22.34,399.4,1.53
Qua'an-Pan,Lowland,Groundnut,7.03,25.0,46.92,32.7,30.48,590.55,1.42
Qua'an-Pan,Lowland,Groundnut,7.37,25.0,50.0,37.3,28.11,601.73,1.11
Qua'an-Pan,Lowland,Groundnut,6.38,25.0,35.98,27.27,32.52,506.43,1.5
Qua'an-Pan,Lowland,Groundnut,5.59,25.0,36.97,44.7,29.4,536.19,0.46
Qua'an-Pan,Lowland,Groundnut,5.87,25.0,16.58,30.09,29.75,385.51,1.42
Qua'an-Pan,Lowland,Groundnut,7.29,25.0,22.88,18.75,25.26,589.32,0.71
Qua'an-Pan,Lowland,Groundnut,6.83,25.0,48.14,29.89,28.04,489.18,0.41
Qua'an-Pan,Lowland,Groundnut,5.87,25.0,42.31,43.93,29.14,516.67,0.25
Qua'an-Pan,Lowland,Groundnut,6.4,25.0,50.0,40.76,33.38,569.64,0.61
Qua'an-Pan,Lowland,Groundnut,6.63,25.0,22.78,31.38,27.28,687.13,0.15
Qua'an-Pan,Lowland,Groundnut,7.28,25.0,16.46,45.07,30.56,646.21,1.13
Qua'an-Pan,Lowland,Groundnut,7.79,25.0,34.21,37.75,32.35,409.16,0.63
Qua'an-Pan,Lowland,Groundnut,6.38,23.98,38.5,18.75,28.19,600.85,0.69
Qua'an-Pan,Lowland,Groundnut,7.56,25.0,50.0,40.65,21.99,815.94,0.83
Qua'an-Pan,Lowland,Groundnut,6.04,25.0,33.28,33.63,28.36,465.29,1.08
Qua'an-Pan,Lowland,Groundnut,6.33,24.97,34.31,18.75,29.24,385.86,0.91
Qua'an-Pan,Lowland,Groundnut,7.34,25.0,50.0,30.95,34.14,457.44,0.56
Qua'an-Pan,Lowland,Groundnut,6.97,25.0,24.21,30.57,27.84,656.43,0.18
Qua'an-Pan,Lowland,Groundnut,6.57,25.0,39.31,46.21,27.74,478.49,1.06
Qua'an-Pan,Lowland,Groundnut,6.62,25.0,44.02,29.04,25.86,438.46,1.33
Qua'an-Pan,Lowland,Groundnut,4.64,25.0,36.99,20.04,29.08,555.45,1.06
Qua'an-Pan,Lowland,Groundnut,4.98,25.0,25.72,40.75,30.59,397.82,1.09
Qua'an-Pan,Lowland,Groundnut,6.33,24.17,50.0,27.97,25.01,453.02,0.95
Qua'an-Pan,Lowland,Groundnut,6.53,25.0,16.94,28.25,27.59,721.2,0.81
Qua'an-Pan,Lowland,Groundnut,7.21,25.0,29.43,32.59,27.41,570.35,1.34
Qua'an-Pan,Lowland,Groundnut,6.77,25.0,22.41,31.12,25.46,536.65,0.73
Qua'an-Pan,Lowland,Groundnut,6.99,25.0,37.12,40.76,20.77,747.28,0.76
Qua'an-Pan,Lowland,Groundnut,5.36,25.0,36.98,34.03,31.47,587.11,0.96
Qua'an-Pan,Lowland,Groundnut,6.83,25.0,50.0,21.8,28.49,507.58,1.14
Qua'an-Pan,Lowland,Groundnut,6.06,25.0,38.78,37.21,33.21,375.0,1.26
Qua'an-Pan,Lowland,Groundnut,7.97,25.0,17.65,31.19,28.05,565.71,0.65
Qua'an-Pan,Lowland,Groundnut,7.49,25.0,11.25,44.43,20.04,476.21,1.5
Qua'an-Pan,Lowland,Groundnut,6.55,25.0,35.65,34.3,28.56,577.19,0.49
Qua'an-Pan,Lowland,Groundnut,7.56,25.0,47.1,29.25,32.5,470.04,0.95
Qua'an-Pan,Lowland,Groundnut,6.01,25.0,46.53,30.87,25.01,425.04,1.1
Qua'an-Pan,Lowland,Groundnut,6.19,25.0,36.71,18.75,22.85,539.19,0.6
Qua'an-Pan,Lowland,Groundnut,7.19,25.0,46.99,50.0,27.71,575.63,0.65
Qua'an-Pan,Lowland,Groundnut,8.02,25.0,36.66,38.13,32.76,482.85,0.62
Qua'an-Pan,Lowland,Groundnut,7.08,25.0,39.16,27.45,21.99,527.52,1.17
Qua'an-Pan,Lowland,Groundnut,6.43,25.0,26.22,25.52,27.76,490.37,1.12
Qua'an-Pan,Lowland,Groundnut,6.1,25.0,50.0,34.4,32.37,376.87,1.23
Qua'an-Pan,Lowland,Groundnut,7.18,25.0,36.26,18.75,25.75,427.05,0.51
Qua'an-Pan,Lowland,Groundnut,6.63,25.0,24.45,25.48,25.5,630.71,0.62
Qua'an-Pan,Lowland,Groundnut,6.25,25.0,41.44,38.74,17.34,619.07,1.36
Qua'an-Pan,Lowland,Groundnut,5.94,25.0,29.92,28.13,28.78,375.0,0.46
Qua'an-Pan,Lowland,Groundnut,7.48,25.0,50.0,37.86,21.67,574.05,0.81
Qua'an-Pan,Lowland,Groundnut,6.29,25.0,43.42,40.94,32.12,547.57,0.37
Qua'an-Pan,Lowland,Groundnut,6.28,25.0,47.06,50.0,32.88,528.18,0.96
Qua'an-Pan,Lowland,Groundnut,6.54,25.0,36.75,45.34,25.9,548.01,1.15
Qua'an-Pan,Lowland,Groundnut,6.02,25.0,21.63,27.55,23.49,395.05,1.35
Qua'an-Pan,Lowland,Pepper,5.51,161.46,39.15,110.69,32.38,1152.53,1.67
Qua'an-Pan,Lowland,Pepper,6.11,107.47,62.5,59.81,28.98,1226.63,1.07
Qua'an-Pan,Lowland,Pepper,7.22,187.57,62.5,67.43,18.75,633.39,1.6
Qua'an-Pan,Lowland,Pepper,6.36,140.17,18.75,92.1,33.75,1000.97,1.88
Qua'an-Pan,Lowland,Pepper,6.81,172.54,60.09,90.13,23.86,523.28,1.28
Qua'an-Pan,Lowland,Pepper,6.59,143.33,51.08,91.27,29.87,1311.24,1.51
Qua'an-Pan,Lowland,Pepper,5.17,142.15,47.13,41.25,32.79,878.97,1.72
Qua'an-Pan,Lowland,Pepper,7.51,130.47,54.87,76.86,24.53,532.3,2.5
Qua'an-Pan,Lowland,Pepper,5.98,184.92,19.12,110.72,31.02,861.93,1.3
Qua'an-Pan,Lowland,Pepper,6.66,212.5,20.75,100.28,20.71,817.45,1.28
Qua'an-Pan,Lowland,Pepper,5.94,155.85,29.94,106.76,16.08,1029.6,1.23
Qua'an-Pan,Lowland,Pepper,5.29,164.57,23.77,80.79,18.03,999.85,0.81
Qua'an-Pan,Lowland,Pepper,5.92,168.32,35.21,78.23,17.55,1064.13,2.5
Qua'an-Pan,Lowland,Pepper,8.75,160.01,57.99,41.25,33.39,1119.23,1.12
Qua'an-Pan,Lowland,Pepper,7.39,145.86,39.8,92.22,19.92,1212.25,0.72
Qua'an-Pan,Lowland,Pepper,5.39,119.03,57.57,63.56,18.42,595.42,1.43
Qua'an-Pan,Lowland,Pepper,5.28,109.12,62.5,57.16,23.8,685.8,1.16
Qua'an-Pan,Lowland,Pepper,6.85,195.1,42.02,47.29,32.19,788.86,2.5
Qua'an-Pan,Lowland,Pepper,4.35,164.28,62.5,70.47,24.32,937.01,1.06
Qua'an-Pan,Lowland,Pepper,6.04,142.44,37.33,112.0,27.92,920.0,2.02
Qua'an-Pan,Lowland,Pepper,6.08,124.57,37.69,79.79,19.94,635.38,1.09
Qua'an-Pan,Lowland,Pepper,8.17,75.0,43.87,125.0,26.14,1110.58,1.52
Qua'an-Pan,Lowland,Pepper,5.73,75.0,49.49,59.39,21.3,635.86,2.5
Qua'an-Pan,Lowland,Pepper,8.41,165.17,39.71,48.84,27.96,1500.81,1.28
Qua'an-Pan,Lowland,Pepper,4.23,183.72,60.87,41.25,26.43,996.04,1.4
Qua'an-Pan,Lowland,Pepper,5.62,197.88,40.6,41.25,14.74,1302.93,1.89
Qua'an-Pan,Lowland,Pepper,6.39,138.25,38.77,51.51,23.23,450.0,0.94
Qua'an-Pan,Lowland,Pepper,6.04,181.25,45.91,100.61,32.58,1226.1,1.78
Qua'an-Pan,Lowland,Pepper,6.32,116.11,57.29,123.84,27.3,1551.74,0.45
Qua'an-Pan,Lowland,Pepper,5.3,191.3,50.35,114.23,25.42,495.99,1.31
Qua'an-Pan,Lowland,Pepper,4.97,110.06,60.68,102.66,27.41,450.0,1.2
Qua'an-Pan,Lowland,Pepper,5.24,204.46,37.97,51.25,25.66,582.35,2.49
Qua'an-Pan,Lowland,Pepper,5.67,98.98,18.75,78.94,22.55,450.0,2.29
Qua'an-Pan,Lowland,Pepper,6.89,155.12,62.5,97.14,21.18,450.0,2.03
Qua'an-Pan,Lowland,Pepper,6.66,163.23,34.13,95.71,21.53,786.34,2.47
Qua'an-Pan,Lowland,Pepper,5.73,91.86,31.13,105.85,26.84,776.15,1.1
Qua'an-Pan,Lowland,Pepper,6.73,121.51,50.95,60.55,20.79,583.36,1.19
Qua'an-Pan,Lowland,Pepper,6.27,165.92,18.75,58.55,23.44,1395.49,0.7
Qua'an-Pan,Lowland,Pepper,6.45,212.5,27.33,90.09,21.29,633.72,0.89
Qua'an-Pan,Lowland,Pepper,5.67,212.5,58.81,108.67,28.08,450.0,1.73
Qua'an-Pan,Lowland,Pepper,7.25,121.33,60.58,98.24,33.75,666.64,0.69
Qua'an-Pan,Lowland,Pepper,5.99,212.5,19.8,41.25,25.97,657.24,1.46
Qua'an-Pan,Lowland,Pepper,7.14,133.65,19.15,125.0,20.26,450.0,2.23
Qua'an-Pan,Lowland,Pepper,5.97,153.68,53.54,108.19,23.75,1401.14,0.45
Qua'an-Pan,Lowland,Pepper,6.98,121.9,62.5,83.48,21.97,1076.25,2.08
Qua'an-Pan,Lowland,Pepper,6.87,114.11,39.43,79.64,25.28,1109.19,0.45
Qua'an-Pan,Lowland,Pepper,6.6,144.4,34.25,60.26,24.37,450.0,0.96
Qua'an-Pan,Lowland,Pepper,5.54,178.1,34.73,74.1,33.6,1201.91,2.09
Qua'an-Pan,Lowland,Pepper,5.87,178.52,43.08,74.6,27.65,598.71,2.5
Qua'an-Pan,Lowland,Pepper,6.17,181.6,62.5,106.83,18.1,993.64,2.05
Qua'an-Pan,Lowland,Cabbage,7.09,113.82,60.74,134.65,13.79,319.02,1.62
Qua'an-Pan,Lowland,Cabbage,6.53,125.09,58.81,123.07,9.13,322.69,1.09
Qua'an-Pan,Lowland,Cabbage,7.33,165.74,60.24,137.87,17.56,285.0,0.88
Qua'an-Pan,Lowland,Cabbage,7.42,151.1,66.6,145.9,8.33,285.0,0.28
Qua'an-Pan,Lowland,Cabbage,6.78,151.13,79.99,121.51,16.7,340.13,1.0
Qua'an-Pan,Lowland,Cabbage,5.57,187.5,71.04,120.92,25.02,389.66,0.9
Qua'an-Pan,Lowland,Cabbage,6.18,163.75,69.86,103.07,30.0,360.53,1.26
Qua'an-Pan,Lowland,Cabbage,7.39,146.92,69.26,131.42,14.09,343.78,1.01
Qua'an-Pan,Lowland,Cabbage,5.99,187.5,54.18,94.53,30.0,389.93,0.52
Qua'an-Pan,Lowland,Cabbage,6.92,187.5,66.22,162.5,7.5,388.57,1.44
Qua'an-Pan,Lowland,Cabbage,7.09,140.32,63.95,125.02,26.65,382.17,1.39
Qua'an-Pan,Lowland,Cabbage,5.95,139.64,58.26,110.49,28.28,347.56,1.62
Qua'an-Pan,Lowland,Cabbage,6.68,148.02,67.42,106.09,19.53,418.95,1.0
Qua'an-Pan,Lowland,Cabbage,6.09,119.31,62.55,118.54,29.73,285.0,0.82
Qua'an-Pan,Lowland,Cabbage,6.65,92.82,59.2,105.35,13.51,353.43,0.89
Qua'an-Pan,Lowland,Cabbage,6.23,158.76,81.25,145.93,7.5,380.4,0.88
Qua'an-Pan,Lowland,Cabbage,6.65,134.67,67.52,119.9,15.28,285.0,0.77
Qua'an-Pan,Lowland,Cabbage,6.7,163.74,73.96,108.6,22.31,407.38,1.44
Qua'an-Pan,Lowland,Cabbage,6.53,139.84,68.16,97.13,18.42,392.12,1.22
Qua'an-Pan,Lowland,Cabbage,6.4,152.63,59.27,129.56,19.37,320.68,0.8
Qua'an-Pan,Lowland,Cabbage,6.52,133.22,72.25,110.33,30.0,442.56,0.58
Qua'an-Pan,Lowland,Cabbage,6.6,127.31,63.63,152.29,17.49,365.22,1.18
Qua'an-Pan,Lowland,Cabbage,5.96,121.35,55.94,101.74,7.5,378.12,1.62
Qua'an-Pan,Lowland,Cabbage,6.65,104.99,60.87,109.22,11.7,400.21,1.29
Qua'an-Pan,Lowland,Cabbage,5.87,167.42,79.85,150.54,30.0,285.0,1.62
Qua'an-Pan,Lowland,Cabbage,6.35,129.0,69.35,107.06,23.25,285.0,0.85
Qua'an-Pan,Lowland,Cabbage,7.33,144.61,67.73,125.56,29.55,285.0,1.2
Qua'an-Pan,Lowland,Cabbage,6.4,151.14,75.76,96.35,11.74,285.0,0.72
Qua'an-Pan,Lowland,Cabbage,7.35,142.76,54.76,108.75,7.87,285.0,1.12
Qua'an-Pan,Lowland,Cabbage,5.86,178.72,65.87,118.74,17.73,394.1,1.28
Qua'an-Pan,Lowland,Cabbage,6.76,162.74,64.63,126.74,17.24,340.16,0.84
Qua'an-Pan,Lowland,Cabbage,6.29,126.19,70.58,140.18,29.55,285.0,1.5
Qua'an-Pan,Lowland,Cabbage,6.37,163.79,58.56,119.73,22.56,285.0,1.21
Qua'an-Pan,Lowland,Cabbage,7.36,141.19,78.39,113.93,26.93,285.0,1.62
Qua'an-Pan,Lowland,Cabbage,7.45,137.98,49.23,122.29,8.22,371.14,1.13
Qua'an-Pan,Lowland,Cabbage,6.0,178.96,73.54,134.32,20.07,285.0,1.37
Qua'an-Pan,Lowland,Cabbage,6.4,105.76,78.32,153.99,19.66,491.14,0.99
Qua'an-Pan,Lowland,Cabbage,6.33,127.9,80.81,103.59,26.0,300.86,0.76
Qua'an-Pan,Lowland,Cabbage,7.17,135.2,62.95,137.07,30.0,385.13,0.68
Qua'an-Pan,Lowland,Cabbage,6.26,148.61,69.3,99.96,25.9,345.99,0.23
Qua'an-Pan,Lowland,Cabbage,6.01,131.58,65.85,150.31,21.94,285.0,1.05
Qua'an-Pan,Lowland,Cabbage,6.35,155.75,71.57,138.41,19.8,454.73,1.34
Qua'an-Pan,Lowland,Cabbage,6.14,187.5,69.35,102.63,30.0,485.44,0.94
Qua'an-Pan,Lowland,Cabbage,6.26,141.25,72.74,139.61,24.65,347.12,1.58
Qua'an-Pan,Lowland,Cabbage,6.37,176.33,63.97,124.79,19.07,336.09,0.8
Qua'an-Pan,Lowland,Cabbage,7.36,124.91,60.01,154.36,27.97,285.0,0.72
Qua'an-Pan,Lowland,Cabbage,5.48,118.56,39.03,114.85,10.69,344.19,0.27
Qua'an-Pan,Lowland,Cabbage,6.61,134.18,79.63,141.95,26.4,317.14,1.62
Qua'an-Pan,Lowland,Cabbage,5.64,105.36,65.76,156.69,18.35,327.17,0.35
Qua'an-Pan,Lowland,Cabbage,7.12,174.07,73.39,106.24,14.24,285.0,0.99
Qua'an-Pan,Lowland,Maize,5.31,161.95,66.57,70.83,24.5,631.63,1.31
Qua'an-Pan,Lowland,Maize,6.23,201.61,56.64,84.7,27.7,375.0,1.95
Qua'an-Pan,Lowland,Maize,5.54,198.91,94.37,103.86,27.16,486.56,1.92
Qua'an-Pan,Lowland,Maize,7.34,178.25,60.08,45.0,27.72,535.53,2.05
Qua'an-Pan,Lowland,Maize,6.98,235.18,61.79,108.82,24.54,686.08,0.3
Qua'an-Pan,Lowland,Maize,6.83,138.41,69.31,92.53,24.57,375.0,1.85
Qua'an-Pan,Lowland,Maize,6.44,182.0,74.72,125.0,32.37,753.45,1.56
Qua'an-Pan,Lowland,Maize,6.75,126.42,62.11,71.03,18.27,375.0,0.3
Qua'an-Pan,Lowland,Maize,6.52,220.15,93.36,91.93,22.52,375.0,0.3
Qua'an-Pan,Lowland,Maize,5.09,170.36,71.19,58.57,28.58,509.35,1.26
Qua'an-Pan,Lowland,Maize,7.88,161.87,81.32,81.92,25.45,704.92,1.87
Qua'an-Pan,Lowland,Maize,5.47,190.97,78.91,75.87,29.72,599.21,2.5
Qua'an-Pan,Lowland,Maize,4.79,192.71,58.09,96.35,19.47,610.6,0.81
Qua'an-Pan,Lowland,Maize,5.71,154.11,65.85,107.56,26.88,659.84,2.42
Qua'an-Pan,Lowland,Maize,6.86,179.99,82.17,69.54,24.65,375.0,1.9
Qua'an-Pan,Lowland,Maize,6.11,201.59,55.86,92.42,23.45,525.2,1.87
Qua'an-Pan,Lowland,Maize,7.47,195.64,43.05,125.0,35.0,676.47,0.73
Qua'an-Pan,Lowland,Maize,6.43,180.43,96.11,88.37,23.35,467.62,2.04
Qua'an-Pan,Lowland,Maize,8.41,240.84,87.24,76.35,15.0,602.0,1.25
Qua'an-Pan,Lowland,Maize,6.72,197.85,50.78,95.26,29.94,669.41,1.92
Qua'an-Pan,Lowland,Maize,7.26,184.32,72.75,84.37,27.5,724.69,1.71
Qua'an-Pan,Lowland,Maize,8.96,250.0,75.38,45.0,32.76,455.43,0.69
Qua'an-Pan,Lowland,Maize,6.1,183.26,84.7,45.84,21.98,610.05,1.69
Qua'an-Pan,Lowland,Maize,7.3,173.33,56.87,70.42,28.12,809.96,0.3
Qua'an-Pan,Lowland,Maize,6.31,157.42,45.08,104.82,29.54,628.65,1.9
Qua'an-Pan,Lowland,Maize,6.01,183.66,100.0,76.49,30.42,551.12,0.3
Qua'an-Pan,Lowland,Maize,4.2,179.4,92.47,100.65,31.26,377.27,2.39
Qua'an-Pan,Lowland,Maize,5.45,202.48,73.81,78.19,33.23,426.61,0.31
Qua'an-Pan,Lowland,Maize,6.58,184.62,100.0,98.04,25.09,375.0,0.3
Qua'an-Pan,Lowland,Maize,5.38,199.63,98.97,108.43,28.07,493.45,1.44
Qua'an-Pan,Lowland,Maize,5.96,246.38,70.68,80.23,16.69,515.8,1.84
Qua'an-Pan,Lowland,Maize,5.33,174.39,87.86,47.77,31.92,456.87,0.98
Qua'an-Pan,Lowland,Maize,5.26,207.3,100.0,100.49,22.98,748.73,1.03
Qua'an-Pan,Lowland,Maize,8.15,219.8,37.5,58.81,31.4,576.54,0.54
Qua'an-Pan,Lowland,Maize,5.83,140.7,72.44,125.0,30.75,933.32,1.87
Qua'an-Pan,Lowland,Maize,7.75,250.0,80.59,77.88,31.81,804.42,0.92
Qua'an-Pan,Lowland,Maize,5.73,200.33,88.54,100.88,20.37,884.53,0.81
Qua'an-Pan,Lowland,Maize,6.25,169.96,100.0,87.9,23.04,701.19,1.79
